Close Year,Date Stamp,Full Investigation,Number of Records (copy),Number of Records,Uniq Id
2006,5/12/17,Not Fully Investigated,1,1,726
2006,5/12/17,Not Fully Investigated,1,1,727
2006,5/12/17,Not Fully Investigated,1,1,728
2006,5/12/17,Not Fully Investigated,1,1,729
2006,5/12/17,Not Fully Investigated,1,1,731
2006,5/12/17,Not Fully Investigated,1,1,732
2006,5/12/17,Not Fully Investigated,1,1,733
2006,5/12/17,Not Fully Investigated,1,1,735
2006,5/12/17,Not Fully Investigated,1,1,736
2006,5/12/17,Not Fully Investigated,1,1,737
2006,5/12/17,Not Fully Investigated,1,1,739
2006,5/12/17,Not Fully Investigated,1,1,743
2006,5/12/17,Not Fully Investigated,1,1,745
2006,5/12/17,Not Fully Investigated,1,1,746
2006,5/12/17,Not Fully Investigated,1,1,747
2006,5/12/17,Not Fully Investigated,1,1,748
2006,5/12/17,Not Fully Investigated,1,1,749
2006,5/12/17,Not Fully Investigated,1,1,750
2006,5/12/17,Not Fully Investigated,1,1,751
2006,5/12/17,Not Fully Investigated,1,1,753
2006,5/12/17,Not Fully Investigated,1,1,755
2006,5/12/17,Not Fully Investigated,1,1,756
2006,5/12/17,Not Fully Investigated,1,1,757
2006,5/12/17,Not Fully Investigated,1,1,758
2006,5/12/17,Not Fully Investigated,1,1,759
2006,5/12/17,Not Fully Investigated,1,1,761
2006,5/12/17,Not Fully Investigated,1,1,762
2006,5/12/17,Not Fully Investigated,1,1,763
2006,5/12/17,Not Fully Investigated,1,1,765
2006,5/12/17,Not Fully Investigated,1,1,766
2006,5/12/17,Not Fully Investigated,1,1,767
2006,5/12/17,Not Fully Investigated,1,1,768
2006,5/12/17,Not Fully Investigated,1,1,772
2006,5/12/17,Not Fully Investigated,1,1,774
2006,5/12/17,Not Fully Investigated,1,1,775
2006,5/12/17,Not Fully Investigated,1,1,776
2006,5/12/17,Not Fully Investigated,1,1,777
2006,5/12/17,Not Fully Investigated,1,1,778
2006,5/12/17,Not Fully Investigated,1,1,780
2006,5/12/17,Not Fully Investigated,1,1,781
2006,5/12/17,Not Fully Investigated,1,1,784
2006,5/12/17,Not Fully Investigated,1,1,785
2006,5/12/17,Not Fully Investigated,1,1,786
2006,5/12/17,Not Fully Investigated,1,1,787
2006,5/12/17,Not Fully Investigated,1,1,788
2006,5/12/17,Not Fully Investigated,1,1,791
2006,5/12/17,Not Fully Investigated,1,1,793
2006,5/12/17,Not Fully Investigated,1,1,795
2006,5/12/17,Not Fully Investigated,1,1,797
2006,5/12/17,Not Fully Investigated,1,1,798
2006,5/12/17,Not Fully Investigated,1,1,800
2006,5/12/17,Not Fully Investigated,1,1,801
2006,5/12/17,Not Fully Investigated,1,1,802
2006,5/12/17,Not Fully Investigated,1,1,803
2006,5/12/17,Not Fully Investigated,1,1,804
2006,5/12/17,Not Fully Investigated,1,1,805
2006,5/12/17,Not Fully Investigated,1,1,806
2006,5/12/17,Not Fully Investigated,1,1,807
2006,5/12/17,Not Fully Investigated,1,1,810
2006,5/12/17,Not Fully Investigated,1,1,812
2006,5/12/17,Not Fully Investigated,1,1,813
2006,5/12/17,Not Fully Investigated,1,1,814
2006,5/12/17,Not Fully Investigated,1,1,815
2006,5/12/17,Not Fully Investigated,1,1,816
2006,5/12/17,Not Fully Investigated,1,1,817
2006,5/12/17,Not Fully Investigated,1,1,819
2006,5/12/17,Not Fully Investigated,1,1,822
2006,5/12/17,Not Fully Investigated,1,1,823
2006,5/12/17,Not Fully Investigated,1,1,825
2006,5/12/17,Not Fully Investigated,1,1,826
