Boro Desc,Boro Id,CCRB Received Year,DateStamp,Number of Records,Uniq Id
Bronx,3,2006,5/12/17,1,1293
Bronx,3,2006,5/12/17,1,1298
Bronx,3,2006,5/12/17,1,1299
Bronx,3,2006,5/12/17,1,1308
Bronx,3,2006,5/12/17,1,1313
Bronx,3,2006,5/12/17,1,1319
Bronx,3,2006,5/12/17,1,1322
Bronx,3,2006,5/12/17,1,1326
Bronx,3,2006,5/12/17,1,1332
Bronx,3,2006,5/12/17,1,1342
Bronx,3,2006,5/12/17,1,1344
Bronx,3,2006,5/12/17,1,1347
Bronx,3,2006,5/12/17,1,1349
Bronx,3,2006,5/12/17,1,1350
Bronx,3,2006,5/12/17,1,1354
Bronx,3,2006,5/12/17,1,1356
Bronx,3,2006,5/12/17,1,1363
Bronx,3,2006,5/12/17,1,1368
Bronx,3,2006,5/12/17,1,1369
Bronx,3,2006,5/12/17,1,1377
Bronx,3,2006,5/12/17,1,1378
Bronx,3,2006,5/12/17,1,1380
Bronx,3,2006,5/12/17,1,1386
Bronx,3,2006,5/12/17,1,1390
Bronx,3,2006,5/12/17,1,1391
Bronx,3,2006,5/12/17,1,1394
Bronx,3,2006,5/12/17,1,1398
Bronx,3,2006,5/12/17,1,1401
Bronx,3,2006,5/12/17,1,1403
Bronx,3,2006,5/12/17,1,1404
Bronx,3,2006,5/12/17,1,1407
Bronx,3,2006,5/12/17,1,1411
Bronx,3,2006,5/12/17,1,1417
Bronx,3,2006,5/12/17,1,1428
Bronx,3,2006,5/12/17,1,1431
Bronx,3,2006,5/12/17,1,1441
Bronx,3,2006,5/12/17,1,1446
Bronx,3,2006,5/12/17,1,1447
Bronx,3,2006,5/12/17,1,1448
Bronx,3,2006,5/12/17,1,1450
Bronx,3,2006,5/12/17,1,1451
Bronx,3,2006,5/12/17,1,1452
Bronx,3,2006,5/12/17,1,1457
Bronx,3,2006,5/12/17,1,1466
Bronx,3,2006,5/12/17,1,1480
Bronx,3,2006,5/12/17,1,1493
Bronx,3,2006,5/12/17,1,1498
Bronx,3,2006,5/12/17,1,1505
Bronx,3,2006,5/12/17,1,1518
Bronx,3,2006,5/12/17,1,1522
Bronx,3,2006,5/12/17,1,1525
Bronx,3,2006,5/12/17,1,1530
Bronx,3,2006,5/12/17,1,1535
Bronx,3,2006,5/12/17,1,1539
Bronx,3,2006,5/12/17,1,1548
Bronx,3,2006,5/12/17,1,1549
Bronx,3,2006,5/12/17,1,1553
Bronx,3,2006,5/12/17,1,1565
Bronx,3,2006,5/12/17,1,1580
Bronx,3,2006,5/12/17,1,1584
Bronx,3,2006,5/12/17,1,1586
Bronx,3,2006,5/12/17,1,1588
Bronx,3,2006,5/12/17,1,1589
Bronx,3,2006,5/12/17,1,1593
Bronx,3,2006,5/12/17,1,1601
Bronx,3,2006,5/12/17,1,1608
Bronx,3,2006,5/12/17,1,1618
Bronx,3,2006,5/12/17,1,1619
Bronx,3,2006,5/12/17,1,1622
Bronx,3,2006,5/12/17,1,1625
Bronx,3,2006,5/12/17,1,1627
Bronx,3,2006,5/12/17,1,1632
Bronx,3,2006,5/12/17,1,1633
Bronx,3,2006,5/12/17,1,1635
Bronx,3,2006,5/12/17,1,1639
Bronx,3,2006,5/12/17,1,1640
Bronx,3,2006,5/12/17,1,1649
Bronx,3,2006,5/12/17,1,1658
Bronx,3,2006,5/12/17,1,1660
Bronx,3,2006,5/12/17,1,1667
Bronx,3,2006,5/12/17,1,1671
Bronx,3,2006,5/12/17,1,1679
Bronx,3,2006,5/12/17,1,1680
Bronx,3,2006,5/12/17,1,1693
Bronx,3,2006,5/12/17,1,1694
Bronx,3,2006,5/12/17,1,1697
Bronx,3,2006,5/12/17,1,1701
Bronx,3,2006,5/12/17,1,1702
Bronx,3,2006,5/12/17,1,1705
Bronx,3,2006,5/12/17,1,1709
Bronx,3,2006,5/12/17,1,1710
Bronx,3,2006,5/12/17,1,1717
Bronx,3,2006,5/12/17,1,1719
Bronx,3,2006,5/12/17,1,1728
Bronx,3,2006,5/12/17,1,1730
Bronx,3,2006,5/12/17,1,1748
Bronx,3,2006,5/12/17,1,1749
Bronx,3,2006,5/12/17,1,1750
Bronx,3,2006,5/12/17,1,1757
Bronx,3,2006,5/12/17,1,1760
Bronx,3,2006,5/12/17,1,1780
Bronx,3,2006,5/12/17,1,1785
Bronx,3,2006,5/12/17,1,1788
Bronx,3,2006,5/12/17,1,1792
Bronx,3,2006,5/12/17,1,1794
Bronx,3,2006,5/12/17,1,1798
Bronx,3,2006,5/12/17,1,1801
Bronx,3,2006,5/12/17,1,1803
Bronx,3,2006,5/12/17,1,1806
Bronx,3,2006,5/12/17,1,1807
Bronx,3,2006,5/12/17,1,1809
Bronx,3,2006,5/12/17,1,1814
Bronx,3,2006,5/12/17,1,1817
Bronx,3,2006,5/12/17,1,1823
Bronx,3,2006,5/12/17,1,1824
Bronx,3,2006,5/12/17,1,1831
Bronx,3,2006,5/12/17,1,1833
Bronx,3,2006,5/12/17,1,1839
Bronx,3,2006,5/12/17,1,1848
Bronx,3,2006,5/12/17,1,1857
Bronx,3,2006,5/12/17,1,1859
Bronx,3,2006,5/12/17,1,1860
Bronx,3,2006,5/12/17,1,1865
Bronx,3,2006,5/12/17,1,1867
Bronx,3,2006,5/12/17,1,1873
Bronx,3,2006,5/12/17,1,1877
Bronx,3,2006,5/12/17,1,1889
Bronx,3,2006,5/12/17,1,1894
Bronx,3,2006,5/12/17,1,1895
Bronx,3,2006,5/12/17,1,1898
Bronx,3,2006,5/12/17,1,1907
Bronx,3,2006,5/12/17,1,1910
Bronx,3,2006,5/12/17,1,1916
Bronx,3,2006,5/12/17,1,1918
Bronx,3,2006,5/12/17,1,1926
Bronx,3,2006,5/12/17,1,1931
Bronx,3,2006,5/12/17,1,1953
Bronx,3,2006,5/12/17,1,1954
Bronx,3,2006,5/12/17,1,1959
Bronx,3,2006,5/12/17,1,1960
Bronx,3,2006,5/12/17,1,1970
Bronx,3,2006,5/12/17,1,1979
Bronx,3,2006,5/12/17,1,1980
Bronx,3,2006,5/12/17,1,1983
Bronx,3,2006,5/12/17,1,1987
Bronx,3,2006,5/12/17,1,1990
Bronx,3,2006,5/12/17,1,2003
Bronx,3,2006,5/12/17,1,2008
Bronx,3,2006,5/12/17,1,2009
Bronx,3,2006,5/12/17,1,2012
Bronx,3,2006,5/12/17,1,2018
Bronx,3,2006,5/12/17,1,2019
Bronx,3,2006,5/12/17,1,2021
Bronx,3,2006,5/12/17,1,2023
Bronx,3,2006,5/12/17,1,2031
Bronx,3,2006,5/12/17,1,2033
Bronx,3,2006,5/12/17,1,2038
Bronx,3,2006,5/12/17,1,2050
Bronx,3,2006,5/12/17,1,2060
Bronx,3,2006,5/12/17,1,2063
Bronx,3,2006,5/12/17,1,2065
Bronx,3,2006,5/12/17,1,2068
Bronx,3,2006,5/12/17,1,2069
Bronx,3,2006,5/12/17,1,2074
Bronx,3,2006,5/12/17,1,2081
Bronx,3,2006,5/12/17,1,2082
Bronx,3,2006,5/12/17,1,2093
Bronx,3,2006,5/12/17,1,2098
Bronx,3,2006,5/12/17,1,2100
Bronx,3,2006,5/12/17,1,2107
Bronx,3,2006,5/12/17,1,2109
Bronx,3,2006,5/12/17,1,2113
Bronx,3,2006,5/12/17,1,2125
Bronx,3,2006,5/12/17,1,2128
Bronx,3,2006,5/12/17,1,2132
Bronx,3,2006,5/12/17,1,2133
Bronx,3,2006,5/12/17,1,2134
Bronx,3,2006,5/12/17,1,2135
Bronx,3,2006,5/12/17,1,2137
Bronx,3,2006,5/12/17,1,2143
Bronx,3,2006,5/12/17,1,2146
Bronx,3,2006,5/12/17,1,2147
Bronx,3,2006,5/12/17,1,2156
Bronx,3,2006,5/12/17,1,2157
Bronx,3,2006,5/12/17,1,2158
Bronx,3,2006,5/12/17,1,2161
Bronx,3,2006,5/12/17,1,2163
Bronx,3,2006,5/12/17,1,2165
Bronx,3,2006,5/12/17,1,2166
Bronx,3,2006,5/12/17,1,2173
Bronx,3,2006,5/12/17,1,2178
Bronx,3,2006,5/12/17,1,2180
Bronx,3,2006,5/12/17,1,2184
Bronx,3,2006,5/12/17,1,2188
Bronx,3,2006,5/12/17,1,2190
Bronx,3,2006,5/12/17,1,2196
Bronx,3,2006,5/12/17,1,2201
Bronx,3,2006,5/12/17,1,2203
Bronx,3,2006,5/12/17,1,2207
Bronx,3,2006,5/12/17,1,2217
Bronx,3,2006,5/12/17,1,2220
Bronx,3,2006,5/12/17,1,2222
Bronx,3,2006,5/12/17,1,2235
Bronx,3,2006,5/12/17,1,2237
Bronx,3,2006,5/12/17,1,2241
Bronx,3,2006,5/12/17,1,2242
Bronx,3,2006,5/12/17,1,2243
Bronx,3,2006,5/12/17,1,2245
Bronx,3,2006,5/12/17,1,2248
Bronx,3,2006,5/12/17,1,2274
Bronx,3,2006,5/12/17,1,2279
Bronx,3,2006,5/12/17,1,2281
Bronx,3,2006,5/12/17,1,2282
Bronx,3,2006,5/12/17,1,2288
Bronx,3,2006,5/12/17,1,2293
Bronx,3,2006,5/12/17,1,2297
Bronx,3,2006,5/12/17,1,2299
Bronx,3,2006,5/12/17,1,2301
Bronx,3,2006,5/12/17,1,2305
Bronx,3,2006,5/12/17,1,2312
Bronx,3,2006,5/12/17,1,2324
Bronx,3,2006,5/12/17,1,2325
Bronx,3,2006,5/12/17,1,2329
Bronx,3,2006,5/12/17,1,2333
Bronx,3,2006,5/12/17,1,2335
Bronx,3,2006,5/12/17,1,2339
Bronx,3,2006,5/12/17,1,2340
Bronx,3,2006,5/12/17,1,2355
Bronx,3,2006,5/12/17,1,2357
Bronx,3,2006,5/12/17,1,2372
Bronx,3,2006,5/12/17,1,2374
Bronx,3,2006,5/12/17,1,2376
Bronx,3,2006,5/12/17,1,2378
Bronx,3,2006,5/12/17,1,2379
Bronx,3,2006,5/12/17,1,2383
Bronx,3,2006,5/12/17,1,2387
Bronx,3,2006,5/12/17,1,2397
Bronx,3,2006,5/12/17,1,2398
Bronx,3,2006,5/12/17,1,2400
Bronx,3,2006,5/12/17,1,2401
Bronx,3,2006,5/12/17,1,2417
Bronx,3,2006,5/12/17,1,2419
Bronx,3,2006,5/12/17,1,2426
Bronx,3,2006,5/12/17,1,2427
Bronx,3,2006,5/12/17,1,2440
Bronx,3,2006,5/12/17,1,2444
Bronx,3,2006,5/12/17,1,2462
Bronx,3,2006,5/12/17,1,2464
Bronx,3,2006,5/12/17,1,2467
Bronx,3,2006,5/12/17,1,2469
Bronx,3,2006,5/12/17,1,2474
Bronx,3,2006,5/12/17,1,2481
Bronx,3,2006,5/12/17,1,2504
Bronx,3,2006,5/12/17,1,2515
Bronx,3,2006,5/12/17,1,2519
Bronx,3,2006,5/12/17,1,2523
Bronx,3,2006,5/12/17,1,2524
Bronx,3,2006,5/12/17,1,2525
Bronx,3,2006,5/12/17,1,2529
Bronx,3,2006,5/12/17,1,2531
Bronx,3,2006,5/12/17,1,2535
Bronx,3,2006,5/12/17,1,2544
Bronx,3,2006,5/12/17,1,2546
Bronx,3,2006,5/12/17,1,2554
Bronx,3,2006,5/12/17,1,2561
Bronx,3,2006,5/12/17,1,2565
Bronx,3,2006,5/12/17,1,2568
Bronx,3,2006,5/12/17,1,2583
Bronx,3,2006,5/12/17,1,2584
Bronx,3,2006,5/12/17,1,2585
Bronx,3,2006,5/12/17,1,2591
Bronx,3,2006,5/12/17,1,2603
Bronx,3,2006,5/12/17,1,2604
Bronx,3,2006,5/12/17,1,2605
Bronx,3,2006,5/12/17,1,2608
Bronx,3,2006,5/12/17,1,2610
Bronx,3,2006,5/12/17,1,2613
Bronx,3,2006,5/12/17,1,2614
Bronx,3,2006,5/12/17,1,2617
Bronx,3,2006,5/12/17,1,2623
Bronx,3,2006,5/12/17,1,2626
Bronx,3,2006,5/12/17,1,2630
Bronx,3,2006,5/12/17,1,2647
Bronx,3,2006,5/12/17,1,2648
Bronx,3,2006,5/12/17,1,2649
Bronx,3,2006,5/12/17,1,2651
Bronx,3,2006,5/12/17,1,2656
Bronx,3,2006,5/12/17,1,2657
Bronx,3,2006,5/12/17,1,2658
Bronx,3,2006,5/12/17,1,2659
